split,horizon_minutes,model,role,samples,mean,median,p50,p75,p90,p95,p99,max
fold_F02,60,Logistic Current,validation_positive,60,0.0007896030042313155,1.2260634915186233e-12,1.2260634915186233e-12,4.329619338519194e-09,5.614100629578281e-06,0.00028917554831376513,0.02090606321596303,0.036989262439659325
fold_F02,60,Logistic Temporal,validation_negative,39760,0.033343825390875076,2.1932548347862712e-25,2.1932548347862712e-25,7.766605729606121e-23,1.4349071473806846e-11,0.0006194514143729927,1.0,1.0
fold_F02,60,Logistic Temporal,validation_ambiguous,300,1.7212953777729166e-23,1.6997275845402532e-26,1.6997275845402532e-26,6.076880367592717e-25,1.7696485931164533e-23,7.249943053276575e-23,4.114485464044646e-22,7.86403823923806e-22
fold_F02,60,Logistic Temporal,validation_positive,60,1.5267492801671976e-23,1.686468204318529e-26,1.686468204318529e-26,5.118325011385446e-25,2.338739995810668e-23,8.488823159195715e-23,2.5057411047714563e-22,3.2098183500071324e-22
fold_F02,60,Static Normal-Range,validation_negative,39760,0.03596938775510204,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143
fold_F02,60,Static Normal-Range,validation_ambiguous,300,0.011904761904761904,0.0,0.0,0.0,0.0,0.007142857142858766,0.2857142857142857,0.42857142857142855
fold_F02,60,Static Normal-Range,validation_positive,60,0.04047619047619047,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.20142857142857093,0.2857142857142857
fold_F02,120,Logistic Current,validation_negative,39760,0.0004660896557793209,2.7620826346777957e-15,2.7620826346777957e-15,8.078740084517901e-11,1.7905279724397754e-08,7.768349946573268e-07,7.859467987828257e-05,0.9815646808268254
fold_F02,120,Logistic Current,validation_ambiguous,240,2.4673171471725867e-07,1.0379785653515095e-15,1.0379785653515095e-15,9.649497294877776e-13,2.0754613568128316e-10,5.1087762529629314e-09,7.303985430952728e-08,5.875491432018292e-05
fold_F02,120,Logistic Current,validation_positive,120,3.182820133505518e-09,2.3817107032020732e-14,2.3817107032020732e-14,1.0820213989580434e-11,3.3015452765155386e-09,2.5732422572517484e-08,5.790596423850932e-08,6.740212918556515e-08
fold_F02,120,Logistic Temporal,validation_negative,39760,0.06277031374190875,1.8299344487727248e-16,1.8299344487727248e-16,4.562983833232349e-14,1.2832757804305366e-10,0.9796586672959985,1.0,1.0
fold_F02,120,Logistic Temporal,validation_ambiguous,240,7.679127560252892e-16,1.2470829180703853e-17,1.2470829180703853e-17,9.900524702681765e-17,1.4885817613713064e-15,4.817606871705362e-15,1.256559031942876e-14,2.7124312788656643e-14
fold_F02,120,Logistic Temporal,validation_positive,120,2.8168368323399055e-16,1.0431652044682572e-18,1.0431652044682572e-18,1.9741039612451726e-17,3.7327903906298046e-16,6.490247545154714e-16,7.398058594415133e-15,1.1269085752835399e-14
fold_F02,120,Static Normal-Range,validation_negative,39760,0.03596938775510204,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143
fold_F02,120,Static Normal-Range,validation_ambiguous,240,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
fold_F02,120,Static Normal-Range,validation_positive,120,0.035714285714285705,0.0,0.0,0.0,0.14285714285714285,0.14999999999999958,0.2857142857142857,0.42857142857142855
fold_F03,15,Logistic Current,validation_negative,6340,0.006520044839092447,6.973514779668274e-09,6.973514779668274e-09,3.7592919752376016e-06,0.00010108429671467495,0.0005286309597837752,0.12577347297664915,0.999994780937972
fold_F03,15,Logistic Current,validation_ambiguous,345,0.004038032899399555,1.0903218194709274e-08,1.0903218194709274e-08,5.0235306238824526e-06,0.00010758485808628031,0.0004689406758834649,0.004589193482120802,0.9926127711051158
fold_F03,15,Logistic Current,validation_positive,15,0.3865650054885827,0.3333422652727701,0.3333422652727701,0.7906894333524525,0.8438160651700436,0.8993380880469545,0.9798028719195156,0.9999190678876559
